Time (s),Motion Intensity
0.0,0.532
0.0619,0.5457
0.1238,0.557
0.1857,0.492
0.2477,0.4599
0.3096,0.4502
0.3715,0.4689
0.4334,0.471
0.4953,0.466
0.5572,0.4936
0.6191,0.4658
0.6811,0.4618
0.743,0.477
0.8049,0.4886
0.8668,0.8316
0.9287,0.7971
0.9906,0.7514
1.0525,0.7486
6.3771,0.2413
6.7486,0.0925
6.8105,0.0665
6.8724,0.211
6.9343,0.2384
7.1201,0.1084
7.182,0.1691
7.2439,0.198
7.3058,0.2095
7.3677,0.2357
7.4296,0.211
7.4916,0.2046
7.5535,0.1199
7.6154,0.1286
7.6773,0.1763
7.7392,0.1156
7.8011,0.1084
7.863,0.1084
7.925,0.172
7.9869,0.3396
8.0488,0.276
8.2964,0.1821
8.3583,0.1821
8.4822,0.1387
8.5441,0.1103
8.606,0.1431
8.6679,0.1503
8.7298,0.3237
8.7917,0.3237
8.9775,0.2152
9.0394,0.172
9.1013,0.2211
9.1632,0.2832
9.349,0.1272
9.4109,0.1936
9.4728,0.2688
9.5347,0.2808
9.5966,0.2386
9.6585,0.0939
9.7205,0.1012
9.7824,0.0838
9.8443,0.0997
9.9062,0.136
9.9681,0.1908
10.03,0.1633
10.0919,0.1214
10.1538,0.1228
10.2158,0.1402
10.2777,0.1387
10.3396,0.1084
10.4015,0.1243
10.4634,0.1416
10.5253,0.1431
10.5872,0.1373
10.6492,0.1729
10.7111,0.276
10.773,0.2888
10.8349,0.2991
10.8968,0.2052
10.9587,0.1868
11.0206,0.1373
11.0826,0.1792
11.1445,0.1806
11.2064,0.2182
11.2683,0.1286
11.3302,0.2269
11.3921,0.3201
11.8874,0.1734
11.9493,0.1662
12.0113,0.1662
12.0732,0.1879
12.1351,0.2616
12.197,0.2486
12.2589,0.2457
12.3827,0.09
12.4447,0.1435
12.5066,0.172
12.5685,0.2471
12.6304,0.2486
12.8161,0.1763
12.878,0.2775
12.94,0.2803
13.0019,0.3006
13.2495,0.1098
13.3114,0.1171
13.3734,0.192
13.4353,0.2197
13.4972,0.1864
13.5591,0.2153
13.621,0.2225
13.8068,0.1445
13.8687,0.1474
13.9306,0.1142
13.9925,0.172
14.0544,0.1908
14.1163,0.1517
14.1782,0.1488
14.2402,0.2399
14.3021,0.2269
14.4878,0.1561
14.5497,0.2038
14.6116,0.2052
14.6735,0.1705
14.7355,0.185
14.7974,0.2081
14.8593,0.1821
14.9212,0.2639
14.9831,0.3338
15.2927,0.1098
15.3546,0.2279
15.4165,0.224
15.4784,0.224
15.6642,0.1922
15.7261,0.224
15.788,0.2775
15.8499,0.2384
15.9118,0.1835
15.9737,0.1965
16.0356,0.224
16.0976,0.1994
16.1595,0.198
16.2214,0.3743
16.2833,0.4393
16.3452,0.4379
16.5929,0.2312
16.6548,0.211
16.7167,0.2179
16.7786,0.2529
17.0882,0.2457
17.1501,0.2486
17.212,0.2543
17.2739,0.185
17.3358,0.1618
17.3977,0.1633
17.4597,0.1532
17.5216,0.2023
17.5835,0.2009
17.6454,0.189
17.7073,0.0853
17.7692,0.1329
17.8311,0.1373
17.8931,0.1387
17.955,0.1358
18.0169,0.2587
18.0788,0.2587
18.3265,0.2407
18.3884,0.224
18.4503,0.1478
18.5122,0.2832
18.5741,0.354
18.636,0.3266
18.8837,0.2312
18.9456,0.1185
19.0075,0.146
19.0694,0.1431
19.1313,0.1777
19.1932,0.1908
19.2552,0.1821
19.3171,0.1749
19.379,0.1272
19.4409,0.2197
19.5028,0.211
19.5647,0.211
19.6266,0.1127
19.6886,0.2009
19.7505,0.2254
19.8124,0.2153
19.8743,0.1344
19.9362,0.1705
19.9981,0.2298
20.06,0.1951
20.122,0.1575
20.1839,0.1749
20.2458,0.2182
20.3077,0.263
20.3696,0.16
20.4315,0.1402
20.4934,0.0997
20.5553,0.1532
20.6173,0.1561
20.6792,0.1431
20.7411,0.2746
20.803,0.2919
20.8649,0.3512
20.9268,0.2991
21.1745,0.2182
21.2364,0.2023
21.2983,0.1893
21.3602,0.2876
21.4221,0.2919
21.4841,0.2457
21.546,0.1936
21.6079,0.3264
21.9174,0.1792
21.9794,0.1777
22.0413,0.1647
22.1032,0.159
22.1651,0.1546
22.227,0.2746
22.2889,0.2702
22.3508,0.2688
22.4128,0.1127
22.4747,0.2211
22.5366,0.2254
22.5985,0.25
22.6604,0.2977
23.1557,0.198
23.2176,0.1691
23.2795,0.2578
23.3415,0.2066
23.4034,0.1985
23.4653,0.0983
23.5272,0.2168
23.5891,0.2182
23.7129,0.1893
23.7749,0.2577
23.8368,0.2298
23.8987,0.1822
23.9606,0.1445
24.0225,0.1344
24.0844,0.1734
24.1463,0.1662
24.2083,0.1553
24.2702,0.1964
24.3321,0.2413
24.394,0.3035
24.4559,0.2673
24.7036,0.2355
24.7655,0.2659
24.8274,0.2645
24.8893,0.1691
24.9512,0.172
25.0131,0.1517
25.075,0.1315
25.137,0.1214
25.1989,0.1821
25.2608,0.1835
25.3227,0.2153
25.3846,0.1445
25.4465,0.1575
25.5084,0.198
25.5704,0.1994
25.6323,0.1908
25.6942,0.1594
25.7561,0.1474
25.818,0.159
25.8799,0.2572
25.9418,0.3266
26.0038,0.3092
26.0657,0.2559
26.1276,0.1777
26.1895,0.1763
26.3133,0.1893
26.3752,0.1922
26.4371,0.2052
26.4991,0.2081
26.561,0.2052
26.6229,0.1663
26.6848,0.211
26.7467,0.211
26.8086,0.1546
26.8705,0.1965
26.9325,0.1936
26.9944,0.1994
27.0563,0.3522
27.5516,0.1561
27.6135,0.1939
27.6754,0.3006
27.7373,0.3049
27.7992,0.2919
27.8612,0.211
27.9231,0.2171
27.985,0.2153
28.0469,0.2139
28.1088,0.1835
28.1707,0.1821
28.2326,0.2005
28.2946,0.2269
28.3565,0.2254
28.4184,0.1503
28.4803,0.1503
28.5422,0.1272
28.6041,0.1702
28.666,0.2688
28.728,0.3613
28.7899,0.3049
29.3471,0.2081
29.409,0.211
29.4709,0.328
29.5328,0.2688
29.5947,0.2449
30.0281,0.1734
30.0901,0.3107
30.152,0.3136
30.5235,0.224
30.833,0.1329
30.8949,0.1257
30.9568,0.2029
31.0188,0.2803
31.3283,0.0968
31.3902,0.0968
31.4522,0.0968
