Time (s),Motion Intensity
2.7679,0.4928
2.7835,0.4321
2.7992,0.3829
2.8148,0.3671
2.8305,0.2861
2.8461,0.2355
2.8617,0.1676
2.8774,0.2168
2.893,0.2038
2.9086,0.3179
2.9243,0.3194
2.9399,0.3584
2.9556,0.396
2.9712,0.4098
2.9868,0.3786
3.0025,0.2312
3.0181,0.2038
3.0338,0.1951
3.0494,0.2081
3.065,0.2153
3.0807,0.2384
3.0963,0.3757
3.1119,0.3757
3.1276,0.5217
3.1432,0.5491
3.1589,0.4393
3.1745,0.435
3.1901,0.4379
3.2058,0.4451
3.2214,0.3873
3.237,0.3064
3.2527,0.2861
3.2683,0.2847
3.284,0.2298
3.2996,0.3309
3.3152,0.3366
3.3309,0.3429
3.3465,0.4032
3.3621,0.4682
3.3778,0.3598
3.3934,0.3598
3.4091,0.4075
3.4247,0.4538
3.4403,0.3974
3.456,0.3049
3.4716,0.2384
3.4873,0.1243
3.5029,0.1662
3.5185,0.3078
3.5342,0.3121
3.5498,0.4566
3.5654,0.3786
3.5811,0.4502
3.5967,0.3757
3.6749,0.2905
3.6905,0.3194
3.7062,0.4697
3.8156,0.2355
3.8313,0.3179
3.8469,0.3642
3.8626,0.3324
3.8782,0.2645
3.8938,0.2717
3.9095,0.2514
3.9251,0.2066
3.9408,0.1777
3.9564,0.1893
3.972,0.1893
3.9877,0.198
4.0033,0.2486
4.0189,0.2948
4.0346,0.1676
4.0502,0.159
4.0659,0.1604
4.0815,0.263
4.0971,0.2702
4.1128,0.2789
4.1284,0.2803
4.144,0.2471
4.1597,0.1402
4.1753,0.2543
4.191,0.2948
4.2222,0.2283
4.2379,0.1604
4.2535,0.2095
4.2691,0.211
4.2848,0.2934
4.3004,0.2977
4.3161,0.2688
4.3317,0.4552
4.3473,0.4812
4.4255,0.578
4.4412,0.6286
4.5819,0.3092
4.5975,0.1416
4.6132,0.1373
4.6288,0.1662
4.6445,0.2818
4.6601,0.3006
4.6757,0.3121
4.6914,0.3006
4.707,0.2948
4.7226,0.2269
4.7383,0.185
4.7539,0.2312
4.7696,0.2543
4.7852,0.2457
4.8008,0.1705
4.8165,0.1691
4.8321,0.1691
4.8477,0.25
4.8634,0.2081
4.879,0.2601
4.8947,0.289
4.9103,0.2601
4.9259,0.1864
4.9416,0.1893
4.9572,0.2052
4.9729,0.2558
4.9885,0.224
5.0041,0.3743
5.0198,0.3772
5.0354,0.5101
5.051,0.513
5.0667,0.4465
5.098,0.4335
5.1136,0.3598
5.1292,0.2977
5.1449,0.3468
5.1605,0.3772
5.1761,0.2688
5.1918,0.2673
5.2074,0.2746
5.2231,0.328
5.2387,0.4971
5.2543,0.3598
5.27,0.3988
5.2856,0.3988
5.3482,0.302
5.3638,0.2962
5.3794,0.2442
5.3951,0.276
5.4107,0.3148
5.4264,0.3237
5.442,0.3642
5.4576,0.4523
5.4733,0.4321
5.4889,0.422
5.5045,0.4017
5.5202,0.3266
5.5358,0.2543
5.5515,0.1948
5.5671,0.1792
5.5827,0.2066
5.5984,0.2977
5.614,0.2009
5.6296,0.2009
5.6453,0.2587
5.6609,0.3699
5.7235,0.1503
5.7391,0.1026
5.7547,0.146
5.7704,0.2197
5.786,0.2312
5.8017,0.2139
5.8173,0.2139
5.8329,0.2327
5.8486,0.2717
5.8642,0.3483
5.8798,0.3483
5.8955,0.4003
5.9111,0.2991
5.9268,0.2558
5.9424,0.2384
5.958,0.2471
5.9737,0.3121
5.9893,0.3121
6.005,0.289
6.0206,0.237
6.0362,0.2977
6.0519,0.3468
6.0675,0.2486
6.0831,0.2429
6.0988,0.1821
6.1457,0.2269
6.1613,0.2283
6.177,0.1777
6.1926,0.1113
6.2082,0.0983
6.2239,0.2384
6.2395,0.2529
6.2552,0.276
6.2708,0.2124
6.2864,0.1821
6.3021,0.2442
6.3177,0.328
6.3333,0.3078
6.349,0.2066
6.3646,0.237
6.3803,0.2673
6.3959,0.2673
6.4115,0.1965
6.4272,0.2009
6.4428,0.2327
6.4585,0.2616
6.4741,0.198
6.4897,0.2269
6.5054,0.2876
6.521,0.3309
6.5366,0.341
6.5523,0.3439
6.5679,0.2572
6.5836,0.2442
6.5992,0.2688
6.6148,0.312
6.6305,0.1994
6.6461,0.1073
6.6617,0.1012
6.6774,0.1583
6.693,0.263
6.7087,0.2384
6.7243,0.2818
6.7399,0.2847
6.7556,0.2211
6.7712,0.2168
6.8025,0.4451
6.8338,0.328
6.8494,0.3035
6.865,0.289
6.8807,0.3468
6.8963,0.2919
6.912,0.2905
6.9276,0.1517
6.9432,0.1633
6.9589,0.1806
6.9745,0.315
6.9901,0.4335
7.0058,0.4393
7.0214,0.4249
7.0371,0.2139
7.0527,0.1864
7.0683,0.172
7.084,0.2355
7.0996,0.2312
7.1152,0.2702
7.1309,0.2702
7.1465,0.2795
7.1622,0.2601
7.1778,0.2601
7.1934,0.1936
7.2091,0.1532
7.2247,0.2283
7.2403,0.3092
7.256,0.3483
7.3029,0.2847
7.3185,0.1662
7.3342,0.3815
7.3498,0.3829
7.5218,0.2977
7.5375,0.3136
7.5531,0.2673
7.5687,0.2734
7.5844,0.2934
7.6,0.3078
7.6157,0.2847
7.6313,0.2789
7.6469,0.2673
7.6626,0.3065
7.6782,0.3829
7.6938,0.3483
7.7095,0.3468
7.7251,0.3194
7.7408,0.3714
7.7564,0.3815
7.772,0.2746
7.7877,0.1705
7.8502,0.4639
7.8815,0.2948
7.8971,0.1098
7.9597,0.5043
7.9753,0.4147
7.991,0.4076
8.0066,0.3237
8.0222,0.3092
8.0379,0.3035
8.0535,0.3295
8.0692,0.2934
8.0848,0.2791
8.1004,0.289
8.1161,0.2327
8.1317,0.2341
8.1473,0.3121
8.163,0.3757
8.1786,0.3064
8.1943,0.2384
8.2099,0.3078
8.2255,0.2731
8.2412,0.2702
8.2568,0.2688
8.2724,0.2962
8.2881,0.2471
8.3037,0.2298
8.3194,0.3367
8.335,0.4393
8.3506,0.3179
8.3663,0.2139
8.4288,0.1951
8.4445,0.289
8.4601,0.1908
8.4757,0.1893
8.4914,0.1864
8.507,0.2558
8.5227,0.263
8.5383,0.172
8.5539,0.1734
8.5696,0.1532
8.5852,0.0766
8.6008,0.1315
8.6165,0.1763
8.6321,0.2659
8.6478,0.3136
8.6634,0.3542
8.679,0.3367
8.6947,0.4552
8.7103,0.5376
8.7259,0.3468
8.7416,0.3078
8.7885,0.35
8.8041,0.3136
8.8198,0.2587
8.8354,0.211
8.8511,0.2298
8.8667,0.2298
8.8823,0.2355
8.898,0.2341
8.9136,0.2355
8.9292,0.2587
8.9449,0.2514
8.9605,0.2827
8.9762,0.3035
8.9918,0.5448
9.0074,0.5462
9.1169,0.2832
9.1325,0.2645
9.1482,0.3468
9.1638,0.3483
9.1794,0.3598
9.1951,0.3006
9.2107,0.2283
9.2264,0.2803
9.242,0.4061
9.2576,0.4075
9.2733,0.4436
9.2889,0.3179
9.3045,0.2617
9.3202,0.2413
9.3358,0.289
9.3515,0.4639
9.3671,0.591
9.414,0.5087
9.4297,0.4191
9.4453,0.4191
9.5235,0.341
9.5391,0.3512
9.5548,0.4494
9.5704,0.5202
9.586,0.5029
9.6329,0.2442
9.6486,0.2298
9.6642,0.1705
9.6799,0.2717
9.6955,0.3945
9.7111,0.4884
9.8206,0.1618
9.8519,0.2457
9.8675,0.2312
9.8832,0.1633
9.8988,0.1806
9.9144,0.1315
9.9301,0.1301
9.9457,0.1098
9.9613,0.3454
9.977,0.396
9.9926,0.4465
10.0239,0.2962
10.0395,0.2934
10.0552,0.1633
10.0708,0.3194
10.0864,0.4188
10.1021,0.5087
10.149,0.2962
10.1646,0.2182
10.1803,0.2471
10.1959,0.3035
10.2115,0.2298
10.2272,0.2298
10.2428,0.2789
10.2585,0.3497
10.2741,0.3483
10.2897,0.4263
10.3054,0.474
10.321,0.4581
10.3367,0.2731
10.3523,0.2283
10.3679,0.2081
10.3836,0.2038
10.3992,0.2905
10.4148,0.3367
10.4305,0.3468
10.4461,0.5896
10.4618,0.6329
10.5712,0.3136
10.5869,0.3136
10.6025,0.3117
10.6181,0.3064
10.6338,0.3555
10.6494,0.4668
10.665,0.3829
10.6807,0.3743
10.7589,0.3873
10.7745,0.4151
10.7902,0.4408
10.8058,0.4205
10.8214,0.3613
10.8371,0.3309
10.8527,0.461
10.9622,0.1618
10.9778,0.1546
10.9934,0.2601
11.0091,0.313
11.0247,0.3526
11.0404,0.2384
11.056,0.3873
11.0716,0.3945
11.0873,0.3671
11.1655,0.1951
11.1811,0.3801
11.1967,0.3873
11.2749,0.4306
11.3062,0.1777
11.3218,0.1185
11.3375,0.1373
11.3531,0.2341
11.3688,0.3006
11.3844,0.342
11.4,0.315
11.4157,0.2486
11.4313,0.1908
11.4469,0.2428
11.4626,0.2442
11.4782,0.3396
11.4939,0.3584
11.5095,0.3902
11.5251,0.4335
11.5408,0.4277
11.5564,0.3786
11.572,0.3598
11.5877,0.4061
11.6033,0.3772
11.619,0.4306
11.6346,0.4104
11.6502,0.3598
11.6659,0.2645
11.6815,0.2673
11.6971,0.4003
11.7128,0.4003
11.7284,0.3757
11.7441,0.4277
11.7597,0.4841
11.7753,0.4581
11.791,0.3627
11.8066,0.2529
11.8223,0.2514
11.8535,0.4595
11.8692,0.5535
11.9004,0.3598
11.9161,0.2789
11.963,0.3642
11.9786,0.4061
11.9943,0.4075
12.0099,0.3916
12.0255,0.2601
12.0412,0.2587
12.0568,0.2052
12.0725,0.2254
12.0881,0.2139
12.1037,0.2153
12.1194,0.3006
12.135,0.302
12.1506,0.3049
12.1663,0.3656
12.1819,0.354
12.1976,0.2543
12.2132,0.2991
12.2288,0.289
12.2445,0.2861
12.2601,0.2688
12.2758,0.2153
12.2914,0.2355
12.307,0.2225
12.3227,0.2225
12.3383,0.3945
12.3539,0.5145
12.3696,0.5159
12.4009,0.2832
12.4165,0.1777
12.4321,0.1633
12.4478,0.2009
12.4634,0.211
12.479,0.2153
12.4947,0.2471
12.5103,0.2962
12.526,0.3338
12.5416,0.2572
12.5572,0.2558
12.5729,0.1647
12.5885,0.1633
12.6041,0.1604
12.6198,0.1922
12.6354,0.2587
12.6511,0.3208
12.6667,0.3829
12.6823,0.3772
12.698,0.3844
12.7136,0.4205
12.7292,0.4465
12.7449,0.3757
12.7605,0.3167
12.7762,0.3456
12.7918,0.4162
12.8074,0.4971
12.8231,0.4538
12.8387,0.4494
12.8544,0.4957
12.87,0.3699
12.8856,0.2918
12.9013,0.2645
12.9169,0.2861
12.9325,0.2659
12.9482,0.1936
12.9638,0.1228
12.9795,0.2197
12.9951,0.2601
13.0107,0.3223
13.0264,0.354
13.042,0.3945
13.0576,0.4697
13.0733,0.3974
13.0889,0.3656
13.1046,0.2775
13.1202,0.2977
13.1358,0.2457
13.1515,0.2529
13.1671,0.2832
13.1827,0.3064
13.1984,0.2692
13.214,0.2471
13.2297,0.2471
13.2453,0.2471
13.2609,0.1936
13.2766,0.2283
13.2922,0.2399
13.3079,0.3443
13.3235,0.2948
13.3391,0.3483
13.3548,0.3497
13.3704,0.5159
13.386,0.4494
13.4017,0.4436
13.4173,0.3295
13.433,0.3454
13.4486,0.2962
13.4642,0.2948
13.4799,0.2702
13.4955,0.3324
13.5111,0.5275
13.5268,0.5592
13.6206,0.3107
13.6362,0.25
13.6519,0.1893
13.6675,0.2023
13.6832,0.3251
13.6988,0.3902
13.7144,0.3887
13.7301,0.3353
13.7457,0.2962
13.7614,0.3728
13.777,0.3309
13.7926,0.4682
13.8083,0.4697
13.8865,0.4292
13.9021,0.4277
13.9177,0.3237
13.9334,0.237
13.949,0.2124
13.9646,0.2457
13.9803,0.2124
13.9959,0.2529
14.0116,0.2688
14.0272,0.3829
14.0428,0.3743
14.0585,0.3338
14.0741,0.2876
14.0897,0.3916
14.1054,0.4162
14.121,0.4147
14.1367,0.289
14.1523,0.3023
14.1679,0.211
14.1836,0.2182
14.1992,0.2182
14.2148,0.2543
14.2305,0.1879
14.2461,0.2671
14.2618,0.2514
14.2774,0.3598
14.293,0.3613
14.3087,0.4624
14.3243,0.3266
14.34,0.328
14.3556,0.3121
14.3712,0.2832
14.3869,0.2153
14.4025,0.2934
14.4181,0.4147
14.4338,0.4306
14.4494,0.4249
14.4651,0.4523
14.4807,0.4032
14.4963,0.4017
14.512,0.4465
14.5276,0.4538
14.5432,0.3714
14.5589,0.2702
14.5745,0.1546
14.5902,0.1517
14.6058,0.1806
14.6214,0.3887
14.6371,0.4465
14.684,0.2038
14.6996,0.2283
14.7153,0.2428
14.7309,0.3584
14.7465,0.2962
14.7622,0.2876
14.7778,0.2905
14.7935,0.2572
14.8091,0.2038
14.8247,0.2688
14.8404,0.3175
14.856,0.3584
14.8716,0.3569
14.8873,0.3049
14.9029,0.3671
14.9186,0.3208
14.9342,0.29
14.9498,0.2645
14.9655,0.276
14.9811,0.263
14.9967,0.2298
15.0124,0.2124
15.028,0.2038
15.0437,0.2442
15.0593,0.2558
15.0749,0.2543
15.0906,0.2471
15.1062,0.3092
15.1218,0.2876
15.1375,0.2341
15.1531,0.3642
15.1688,0.3728
15.2313,0.1474
15.247,0.1402
15.2626,0.1792
15.2782,0.2471
15.2939,0.2595
15.3095,0.2645
15.3251,0.3165
15.3408,0.2457
15.3564,0.3478
15.3721,0.4263
15.3877,0.4075
15.4033,0.3295
15.419,0.2529
15.4346,0.2803
15.4502,0.3092
15.4659,0.4292
15.4815,0.3179
15.4972,0.2876
15.5128,0.2543
15.5284,0.2558
15.5441,0.328
15.5597,0.3454
15.5753,0.3237
15.591,0.3613
15.6066,0.4133
15.6223,0.5116
15.6379,0.3772
15.6535,0.2673
15.6692,0.1662
15.6848,0.1936
15.7005,0.211
15.7161,0.2514
15.7317,0.224
15.7474,0.2572
15.763,0.2789
15.7786,0.4566
15.7943,0.4003
15.8099,0.2948
15.8256,0.2312
15.8412,0.1647
15.8568,0.1835
15.8725,0.1936
15.8881,0.2847
15.9037,0.3136
15.9194,0.2514
15.935,0.25
15.9507,0.1705
15.9663,0.2341
15.9819,0.263
15.9976,0.2702
16.0132,0.2254
