Time (s),Motion Intensity
2.7679,0.5289
2.8774,0.341
2.893,0.2973
2.9086,0.1893
2.9243,0.2673
2.9399,0.4855
2.9556,0.5029
2.9868,0.2457
3.0338,0.9913
3.0494,0.9913
3.1276,0.4133
3.1589,0.2153
3.1745,0.2168
3.2527,0.1026
3.2996,0.1301
3.3152,0.1069
3.3309,0.0766
3.3465,0.1532
3.3621,0.1546
3.3778,0.185
3.3934,0.1879
3.4091,0.2168
3.4247,0.2355
3.4403,0.2818
3.456,0.2919
3.4716,0.2298
3.4873,0.289
3.5029,0.354
3.5185,0.4393
3.5342,0.4133
3.5498,0.2934
3.5654,0.2717
3.5811,0.2986
3.5967,0.4176
3.6124,0.4306
3.628,0.3902
3.6436,0.2529
3.6593,0.2153
3.6749,0.2384
3.6905,0.2789
3.7062,0.3194
3.7218,0.2717
3.7375,0.1879
3.7531,0.1662
3.7687,0.1936
3.7844,0.224
3.8,0.328
3.8156,0.3338
3.8313,0.2717
3.8469,0.1763
3.8626,0.211
3.8782,0.2153
3.8938,0.3295
3.9095,0.2572
3.9251,0.2081
3.9408,0.1792
3.9564,0.2327
3.972,0.2673
3.9877,0.2789
4.0033,0.2688
4.0189,0.2341
4.0346,0.1763
4.0502,0.2009
4.0659,0.25
4.0815,0.2543
4.0971,0.2384
4.1128,0.2948
4.1284,0.3324
4.144,0.3136
4.1597,0.315
4.1753,0.341
4.191,0.3425
4.2066,0.3873
4.2222,0.4581
4.2379,0.3425
4.2535,0.341
4.2691,0.1835
4.2848,0.1662
4.3004,0.1517
4.3161,0.1272
4.3317,0.1604
4.3473,0.1604
4.363,0.2009
4.3786,0.2023
4.3942,0.1965
4.4099,0.2861
4.4255,0.3266
4.4412,0.3873
4.4568,0.3107
4.4724,0.2095
4.4881,0.1286
4.5037,0.159
4.5194,0.2861
4.535,0.4581
4.5506,0.3757
4.6288,0.1633
4.6445,0.3049
4.6601,0.289
4.6757,0.2876
4.6914,0.1936
4.707,0.2717
4.7226,0.289
4.7383,0.2211
4.7539,0.1517
4.7696,0.1315
4.7852,0.1503
4.8008,0.2514
4.8165,0.2486
4.8321,0.2471
4.8477,0.1951
4.8634,0.276
4.879,0.2312
4.8947,0.1792
4.9103,0.1445
4.9259,0.2124
4.9416,0.1994
4.9572,0.2818
4.9729,0.2857
4.9885,0.2197
5.0041,0.1026
5.0198,0.0809
5.0354,0.1315
5.051,0.2038
5.0667,0.2269
5.0823,0.1604
5.098,0.1402
5.1136,0.1431
5.1292,0.1445
5.1449,0.1113
5.1605,0.1373
5.1761,0.146
5.1918,0.1445
5.2074,0.1879
5.2231,0.2153
5.2387,0.2702
5.2543,0.3092
5.27,0.2832
5.2856,0.2818
5.3012,0.2081
5.3169,0.2572
5.3325,0.2081
5.3482,0.2066
5.3638,0.2038
5.3794,0.2486
5.3951,0.2471
5.4107,0.2153
5.4264,0.25
5.442,0.2168
5.4576,0.1951
5.4733,0.1344
5.4889,0.1315
5.5045,0.1243
5.5202,0.1243
5.5358,0.1503
5.5515,0.1662
5.5671,0.1416
5.5827,0.2763
5.5984,0.3092
5.614,0.4509
5.6296,0.3627
5.6453,0.4639
5.6609,0.4668
5.7391,0.0997
5.7547,0.1156
5.7704,0.1416
5.786,0.1257
5.8017,0.1257
5.8173,0.2153
5.8329,0.289
5.8486,0.3382
5.8642,0.2746
5.8798,0.2543
5.8955,0.3223
5.9111,0.2832
5.9268,0.4697
5.9424,0.6026
5.958,0.6662
6.0519,0.2095
6.0675,0.3974
6.0831,0.5809
6.0988,0.565
6.177,0.3208
6.1926,0.4451
6.2082,0.4509
6.2239,0.4436
6.2552,0.1691
6.2708,0.1709
6.3021,0.2962
6.3177,0.3743
6.3333,0.4003
6.349,0.3382
6.3646,0.4191
6.3803,0.4566
6.3959,0.3829
6.4115,0.3801
6.4272,0.2471
6.4428,0.2422
6.4585,0.2153
6.4741,0.1705
6.4897,0.2081
6.5054,0.1835
6.521,0.1098
6.5366,0.315
6.5523,0.3382
6.5679,0.3858
6.5836,0.2659
6.5992,0.2673
6.6148,0.2197
6.6305,0.2514
6.6461,0.2529
6.6617,0.2601
6.6774,0.237
6.693,0.1821
6.7087,0.2876
6.7243,0.2948
6.7399,0.3613
6.7556,0.3078
6.7712,0.3049
6.7868,0.198
6.8025,0.1879
6.8181,0.2876
6.8338,0.2905
6.8494,0.2645
6.865,0.1936
6.8807,0.1662
6.8963,0.1792
6.912,0.1821
6.9276,0.2919
6.9432,0.2934
6.9589,0.2558
6.9745,0.1474
6.9901,0.1835
7.0058,0.2514
7.0214,0.3309
7.0371,0.3295
7.0527,0.2601
7.0683,0.2298
7.084,0.2457
7.0996,0.2341
7.1152,0.211
7.1309,0.1517
7.1465,0.2139
7.1622,0.2601
7.1778,0.2876
7.1934,0.289
7.2091,0.3353
7.2247,0.2775
7.2403,0.2254
7.256,0.2254
7.2716,0.2283
7.2873,0.2847
7.3029,0.3454
7.3185,0.3284
7.3342,0.2962
7.3498,0.1546
7.3655,0.1777
7.3811,0.2746
7.3967,0.3208
7.4124,0.3295
7.428,0.3107
7.4436,0.2905
7.4593,0.289
7.4749,0.1575
7.4906,0.1431
7.5062,0.1431
7.5218,0.1488
7.5375,0.1503
7.5531,0.2006
7.5687,0.2355
7.5844,0.2341
7.6,0.2991
7.6157,0.3512
7.6313,0.3555
7.6469,0.3107
7.6626,0.2442
7.6782,0.2081
7.6938,0.289
7.7095,0.2905
7.7251,0.289
7.7408,0.315
7.7564,0.4277
7.772,0.4928
7.7877,0.5347
7.8033,0.3916
7.8189,0.3862
7.8346,0.263
7.8502,0.2861
7.8659,0.2876
7.8815,0.3685
7.8971,0.3165
7.9128,0.2457
7.9284,0.4017
7.9441,0.4451
7.9597,0.4436
7.9753,0.5347
7.991,0.5173
8.0692,0.3136
8.0848,0.2659
8.1004,0.1951
8.1161,0.315
8.1317,0.315
8.1473,0.4306
8.163,0.3945
8.1786,0.4061
8.1943,0.2789
8.2099,0.2645
8.2255,0.2283
8.2412,0.3107
8.2568,0.2543
8.2724,0.2009
8.2881,0.1344
8.3037,0.1474
8.3194,0.25
8.335,0.25
8.3506,0.2139
8.3663,0.1763
8.3819,0.3295
8.3976,0.3367
8.4132,0.3353
8.4288,0.1749
8.4445,0.1257
8.4601,0.1864
8.4914,0.302
8.507,0.2731
8.5227,0.3902
8.5383,0.4566
8.5539,0.3006
8.5696,0.2789
8.6478,0.2659
8.6634,0.1879
8.679,0.1936
8.6947,0.1951
8.7103,0.1243
8.7259,0.0896
8.7416,0.0723
8.7572,0.1864
8.7729,0.2486
8.7885,0.3483
8.8041,0.2861
8.8198,0.2861
8.8354,0.1835
8.8511,0.211
8.8667,0.0801
8.8823,0.0737
8.898,0.065
8.9136,0.1387
8.9292,0.1431
8.9449,0.1301
8.9605,0.263
8.9762,0.3165
8.9918,0.3569
9.0074,0.237
9.0231,0.1575
9.0387,0.1055
9.0543,0.1561
9.07,0.2124
9.0856,0.2775
9.1013,0.2876
9.1169,0.3656
