Time (s),Motion Intensity
2.7679,0.1647
2.8774,0.2457
2.893,0.3078
2.9086,0.4205
2.9243,0.4928
2.9399,0.4581
2.9556,0.3728
2.9712,0.2298
2.9868,0.1908
3.0025,0.2384
3.0181,0.2818
3.0338,0.2818
3.0494,0.2529
3.065,0.3743
3.0807,0.474
3.0963,0.4032
3.1119,0.4003
3.1276,0.2095
3.1432,0.25
3.1589,0.263
3.1745,0.2731
3.1901,0.3237
3.2058,0.4147
3.2214,0.4379
3.237,0.3873
3.2527,0.4147
3.2683,0.3829
3.284,0.3815
3.2996,0.3526
3.3152,0.3627
3.3309,0.211
3.3465,0.1676
3.3621,0.1777
3.3778,0.1792
3.3934,0.159
3.4091,0.1171
3.4247,0.1228
3.4403,0.2355
3.456,0.237
3.4716,0.3237
3.4873,0.4003
3.5029,0.3309
3.5185,0.263
3.5342,0.1474
3.5498,0.1777
3.5654,0.1777
3.5811,0.3092
3.5967,0.3786
3.6124,0.3656
3.628,0.3078
3.6436,0.198
3.6593,0.2182
3.6749,0.2529
3.6905,0.3454
3.7062,0.4538
3.7218,0.4422
3.7375,0.2934
3.7531,0.2197
3.7687,0.091
3.7844,0.2197
3.8,0.2572
3.8156,0.4971
3.8313,0.4191
3.8626,0.1936
3.8782,0.2038
3.9095,0.328
3.9251,0.2803
3.9408,0.2095
3.9564,0.2442
3.972,0.1835
3.9877,0.4205
4.0033,0.422
4.0815,0.3338
4.0971,0.2991
4.1128,0.2818
4.1284,0.289
4.144,0.3078
4.1597,0.2298
4.1753,0.2283
4.191,0.2835
4.2066,0.3324
4.2222,0.4393
4.2379,0.3598
4.2535,0.4017
4.2691,0.4032
4.2848,0.3613
4.3004,0.2659
4.3161,0.2197
4.3317,0.1142
4.3473,0.1199
4.363,0.1214
4.3786,0.1199
4.3942,0.2803
4.4099,0.2847
4.4255,0.3801
4.4412,0.2876
4.4568,0.2254
4.4724,0.2673
4.4881,0.3613
4.5037,0.3526
4.5194,0.3382
4.535,0.1965
4.5506,0.1994
4.5663,0.3873
4.5819,0.3887
4.5975,0.3613
4.6132,0.3468
4.6288,0.4061
4.6445,0.4408
4.6601,0.4162
4.6757,0.4581
4.6914,0.3584
4.707,0.3064
4.7226,0.1546
4.7383,0.2283
4.7539,0.3251
4.7696,0.3613
4.7852,0.3584
4.8008,0.4032
4.8165,0.3902
4.8321,0.3772
4.8477,0.4234
4.8634,0.4538
4.879,0.4523
4.8947,0.3483
4.9103,0.2558
4.9259,0.302
4.9416,0.302
4.9572,0.3035
4.9729,0.2977
4.9885,0.4061
5.0041,0.4624
5.0198,0.4191
5.0354,0.3439
5.051,0.2457
5.0667,0.2139
5.0823,0.2254
5.098,0.2298
5.1136,0.2558
5.1292,0.2876
5.1449,0.4855
5.1605,0.552
5.1761,0.5607
5.2074,0.3006
5.2231,0.3309
5.2387,0.2948
5.2543,0.2818
5.27,0.2832
5.2856,0.3526
5.3012,0.3049
5.3169,0.3786
5.3325,0.5997
5.3482,0.6329
5.3951,0.5448
5.4264,0.237
5.4733,0.2168
5.4889,0.198
5.5045,0.3757
5.5202,0.5289
5.5358,0.6012
5.5671,0.4335
5.6453,0.2139
5.6609,0.211
5.6766,0.2457
5.6922,0.4118
5.7078,0.4147
5.7391,0.302
5.7547,0.1821
5.7704,0.2428
5.786,0.2702
5.8017,0.2702
5.8173,0.2254
5.8329,0.3092
5.8486,0.3468
5.8642,0.591
5.8798,0.4971
5.8955,0.5217
6.005,0.3468
6.0206,0.4061
6.0362,0.4061
6.0831,0.2572
6.0988,0.1581
6.1144,0.1156
6.1301,0.3229
6.1457,0.4697
6.2552,0.1994
6.2708,0.3064
6.2864,0.3078
6.3021,0.3396
6.3803,0.3425
6.3959,0.1893
6.4115,0.2283
6.4272,0.2457
6.4428,0.2225
6.4585,0.2023
6.4741,0.1662
6.4897,0.2572
6.5054,0.4798
6.521,0.4971
6.5992,0.3035
6.6148,0.3685
6.6305,0.4191
6.6461,0.3251
6.6617,0.1604
6.6774,0.2486
6.693,0.2861
6.7087,0.5072
6.7712,0.3829
6.7868,0.4234
6.8025,0.3685
6.8181,0.2442
6.8338,0.3006
6.8494,0.302
6.865,0.4436
6.8807,0.474
6.8963,0.4928
6.912,0.3757
6.9276,0.3526
6.9432,0.1575
6.9589,0.2905
6.9745,0.4321
6.9901,0.4812
7.0058,0.4783
7.0371,0.3078
7.0527,0.2457
7.0683,0.2702
7.084,0.3569
7.0996,0.4552
7.1152,0.5694
7.1309,0.6517
7.1465,0.6676
7.1622,0.5029
7.1778,0.3642
7.1934,0.2514
7.2091,0.3237
7.2247,0.341
7.2403,0.2876
7.3029,0.5426
7.3185,0.6618
7.3342,0.6633
7.428,0.237
7.4436,0.3367
7.4593,0.3801
7.4749,0.4523
7.4906,0.4046
7.5062,0.4205
7.5218,0.448
7.5375,0.3844
7.5531,0.341
7.5687,0.3439
7.5844,0.3194
7.6,0.224
7.6157,0.1864
7.6313,0.2066
7.6469,0.2124
7.6626,0.3988
7.6782,0.4855
7.6938,0.3931
7.7877,0.1561
7.8033,0.0809
7.8189,0.185
7.8346,0.2413
7.8502,0.2731
7.8659,0.2616
7.8815,0.315
7.8971,0.2803
7.9128,0.185
7.9284,0.0694
7.9441,0.0665
7.9597,0.1199
7.9753,0.1055
7.991,0.1329
8.0066,0.2052
8.0222,0.2009
8.0379,0.2023
8.0535,0.2428
8.0692,0.2558
8.0848,0.2399
8.1004,0.2327
8.1161,0.2399
8.1317,0.1618
8.1473,0.2168
8.163,0.2428
8.1786,0.2558
8.1943,0.3165
8.2099,0.3512
8.2255,0.5058
8.2412,0.4697
8.2568,0.383
8.2724,0.2789
8.2881,0.2399
8.3037,0.2616
8.3194,0.4538
8.335,0.4538
8.4288,0.2399
8.4445,0.3002
8.4601,0.3367
8.4757,0.3757
8.4914,0.2384
8.507,0.2442
8.5852,0.4653
8.6008,0.4494
8.679,0.3483
8.6947,0.4812
8.7103,0.5029
8.7259,0.5
8.7416,0.5
8.7572,0.5535
8.7729,0.3815
8.7885,0.3165
8.8041,0.198
8.8198,0.2948
8.8354,0.2948
8.8511,0.4147
8.8667,0.4162
8.9136,0.172
8.9449,0.3699
8.9605,0.3569
8.9762,0.3208
8.9918,0.3309
9.0074,0.3916
9.0231,0.3931
9.0387,0.354
9.0543,0.1358
9.07,0.1344
9.0856,0.2225
9.1169,0.4913
9.1325,0.5382
9.242,0.3829
9.2576,0.3266
9.2889,0.3273
9.3045,0.3627
9.3202,0.3613
9.3358,0.2717
9.3827,0.5318
9.3984,0.5058
9.5078,0.1806
9.5235,0.1835
9.5391,0.1792
9.5548,0.2355
9.5704,0.2597
9.586,0.2659
9.6017,0.2616
9.6173,0.2775
9.6329,0.2298
9.6486,0.3191
9.6799,0.4754
9.758,0.1734
9.7737,0.1749
9.7893,0.3223
9.805,0.4234
9.8206,0.4971
9.8362,0.513
9.8519,0.4552
9.8675,0.2572
9.8832,0.1604
9.9144,0.2673
9.9301,0.3714
9.9457,0.3699
9.9613,0.224
9.977,0.1908
9.9926,0.1806
10.0083,0.3208
10.0239,0.2818
10.0395,0.2818
10.0552,0.2746
10.0708,0.4379
10.0864,0.5014
10.1177,0.5275
10.2428,0.2211
10.2585,0.2939
10.2741,0.3006
10.2897,0.3237
10.3054,0.4118
10.321,0.4292
10.3367,0.422
10.3523,0.2384
10.3679,0.1257
10.3836,0.2168
10.3992,0.263
10.4148,0.2601
10.4305,0.0795
10.4461,0.1329
10.4618,0.159
10.4774,0.2254
10.493,0.2139
10.5087,0.2399
10.5243,0.3569
10.5399,0.3584
10.5556,0.3772
10.5712,0.3642
10.5869,0.3613
10.6807,0.2905
10.7432,0.2312
10.7589,0.2081
10.7745,0.3324
10.7902,0.4205
10.8058,0.422
10.8214,0.3714
10.8371,0.3295
10.8527,0.328
10.8683,0.2211
10.884,0.2428
10.8996,0.2269
10.9153,0.2746
10.9309,0.1821
10.9465,0.2153
10.9622,0.3396
10.9778,0.5506
10.9934,0.6705
11.0247,0.4335
11.0404,0.224
11.1029,0.4465
11.1498,0.3309
11.1655,0.2341
11.1811,0.2861
11.1967,0.3251
11.2124,0.2934
11.228,0.2052
11.2436,0.2124
11.2593,0.4364
11.2749,0.4393
11.2906,0.5925
11.3062,0.6329
11.3218,0.6315
11.3531,0.3786
11.3688,0.3035
11.3844,0.4689
11.4,0.5621
11.4157,0.5621
11.4626,0.3714
11.4939,0.2514
11.5095,0.2514
11.5251,0.1864
11.5408,0.3266
11.5564,0.4162
11.6033,0.1228
11.619,0.0824
11.6346,0.0737
11.6502,0.2298
11.6659,0.2789
11.6815,0.3439
11.6971,0.3396
11.7128,0.3772
11.7284,0.428
11.8379,0.3945
11.8535,0.4986
11.8692,0.6647
11.8848,0.5665
11.9004,0.5592
11.9161,0.5896
11.9317,0.4725
12.0568,0.1416
12.0725,0.1142
12.0881,0.2182
12.1037,0.2832
12.1194,0.3367
12.135,0.3382
12.1506,0.3671
12.1663,0.3829
12.1819,0.2876
12.1976,0.2847
12.2914,0.4364
12.307,0.2529
12.3227,0.2514
12.3696,0.1214
12.3852,0.1676
12.4009,0.2876
12.4165,0.3194
12.4321,0.3902
12.4478,0.3815
12.4634,0.5376
12.479,0.435
12.4947,0.4319
12.6198,0.3468
12.6354,0.3439
12.6511,0.2182
12.6667,0.2327
12.6823,0.302
12.698,0.3425
12.7136,0.2948
12.7292,0.3208
12.7449,0.2948
12.7605,0.2038
12.7762,0.3107
12.7918,0.3801
12.8544,0.4133
12.87,0.3035
12.9482,0.4595
12.9795,0.3295
12.9951,0.2717
13.0107,0.0882
13.0264,0.0896
13.042,0.1387
13.0576,0.1387
13.0733,0.2009
13.0889,0.3324
13.1046,0.3584
13.1202,0.3497
13.1358,0.289
13.1515,0.4436
13.1671,0.4451
13.1827,0.4581
13.1984,0.4277
13.214,0.4653
13.2297,0.4725
13.2453,0.5289
13.3079,0.211
13.3235,0.2514
13.3391,0.2601
13.3548,0.2543
13.3704,0.289
13.386,0.2934
13.4017,0.2919
13.4173,0.2832
13.433,0.5578
13.4486,0.5592
13.5268,0.5217
13.5424,0.5535
13.5581,0.5376
13.5737,0.3902
13.5893,0.3006
13.605,0.302
13.6206,0.302
13.6362,0.2529
13.6519,0.2225
13.6675,0.2211
13.6832,0.1792
13.6988,0.1951
13.7144,0.159
13.7301,0.2404
13.7457,0.315
13.7614,0.4566
13.777,0.4668
13.7926,0.3454
13.8083,0.2471
13.8239,0.0983
13.8708,0.1893
13.8865,0.2514
13.9021,0.3945
13.9177,0.396
13.9334,0.3382
13.949,0.3656
13.9646,0.3685
14.0428,0.2153
14.0741,0.2572
14.0897,0.2139
14.1054,0.3757
14.121,0.3786
14.1523,0.2962
14.1679,0.2558
14.1836,0.1734
14.1992,0.3685
14.2148,0.3584
14.2305,0.3512
14.293,0.328
14.3087,0.2789
14.3243,0.2678
14.34,0.2066
14.3556,0.2942
14.3712,0.3656
14.3869,0.4061
14.4025,0.4046
14.4181,0.429
14.4338,0.4191
14.4494,0.2746
14.4807,0.1864
14.4963,0.1893
14.512,0.1329
14.5276,0.1373
14.5432,0.3064
14.5589,0.315
14.5745,0.3136
14.5902,0.159
14.6058,0.1561
14.6214,0.1633
14.6527,0.4408
14.6683,0.5737
14.7153,0.2038
14.7309,0.1546
14.7465,0.2731
14.7622,0.358
14.7778,0.3497
14.7935,0.3497
14.8247,0.4408
14.8404,0.4436
14.8716,0.2746
14.8873,0.2095
14.9029,0.2139
14.9186,0.2601
14.9342,0.2341
14.9498,0.2254
14.9655,0.2905
14.9811,0.3049
14.9967,0.302
15.0124,0.3064
15.028,0.3426
15.0437,0.3251
15.0593,0.185
15.0749,0.1445
15.0906,0.1315
15.1062,0.1889
15.1218,0.2543
15.1375,0.2023
15.1531,0.2572
15.1688,0.2587
15.1844,0.3251
15.2,0.2861
15.2157,0.2688
15.2313,0.2269
15.247,0.1763
15.2626,0.3786
15.2782,0.4639
15.2939,0.5188
15.3721,0.1922
15.3877,0.1806
15.4033,0.2211
15.419,0.1575
15.4346,0.1734
15.4502,0.2445
15.4659,0.3699
15.4815,0.4408
15.4972,0.3772
15.5128,0.2298
15.5753,0.3367
15.591,0.341
15.6066,0.3324
15.6223,0.3506
15.6379,0.4104
15.6535,0.5246
15.6692,0.6084
15.6848,0.6272
15.7005,0.5173
15.7161,0.3858
15.7317,0.2254
15.7786,0.4118
15.7943,0.3266
15.8412,0.263
15.8568,0.1691
15.8725,0.2861
15.8881,0.294
15.9037,0.2746
15.9194,0.1835
15.935,0.3614
15.9507,0.3671
